supplement,evidence,condition,sub_condition,type,popularity,notes,source names,link
abatacept,4,musculoskeletal,osteoarthritis,hormone,"87,500",Appears to reduce joint pain and improve function.,Cochrane,http://www.cochrane.org/CD007277/MUSKEL_abatacept-for-rheumatoid-arthritis
agnus castus,5,women,PMS,plant / herb,"160,000",Helps improve PMS symptoms.,"Archives of Gynecology and Obstetrics; The European Menopause Journal, Archives of Women's Mental Health, American Journal of Obstetrics and Gynecology, Electronic Physician",https://www.sciencedirect.com/science/article/pii/S0002937817303198
aloe vera,0,digestion,digestive aid,plant / herb,"11,800,000","HARMFUL. Never eat. Ingestion can causes diarrhea, electrolyte imbalance and kidney disfunction.",Journal of Environmental Science and Health,http://www.tandfonline.com/doi/abs/10.1080/10590500600614303#.VcDwRZNVhBc
aloe vera,1,general health,"burns, cuts",plant / herb,"18,800,000",No high quality evidence to support aloe vera for treatment of wounds.,Cochrane,https://www.cochrane.org/CD008762/WOUNDS_aloe-vera-for-treating-acute-and-chronic-wounds
aloe vera,2,diabetes,diabetes,plant / herb,"27,800,000",One study found diabetes patients with high blood levels of fat (dyslipidemia) benefited from one 300mg capsule every 12 hours for 2 months.,Planta Medica,http://www.omni.org.il/_Uploads/dbsAttachedFiles/Research1.Antihyperglycemic.pdf
andrographis,1,infections,respiratory tract infections,plant / herb,"154,000",Slight evidence of reduced symptoms.,Otolaryngologic Clinics of North America,http://www.sciencedirect.com/science/article/pii/S0030666512002149
antioxidants,3,"sexual health, men, children",infertility in men,compound,"1,900,000",Evidence of anti-oxidants as treatment for male infertility is inconclusive.,Cochrane,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007411.pub3/abstract
antioxidants,0,general health,mortality,compound,"7,330,000","Taking antixoxidants have no health benefits. In fact, beta carotene, vitamin A and vitamin E appear to increase the risk of death.",Cochrane,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007176.pub2/abstract
ashwagandha,4,mental health,anxiety & stress,plant / herb,"1,130,000",A review of 5 human trials concludes Ashwagandha reduces anxiety & stress. The review calls for more trials. ,The Journal of Alternative and Complementary Medicine,http://online.liebertpub.com/doi/abs/10.1089/acm.2014.0177
ashwagandha,2,sexual health,erectile dysfunction,plant / herb,"634,000","In a single pilot study on 46 men with low-sperm count, ashwagandha supplementation appeared to increase sperm count  & volume. ",Evidence-based complimentary & alternative medicine,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/963/CN-00977963/frame.html
ashwagandha,2,musculoskeletal,rheumatoid arthritis ,plant / herb,"407,000",No solid evidence.,Indian Journal of Medical Research,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/011/CN-01197011/frame.html
astaxanthin,1,general health,oxidative stress,compound,"261,000",No human trials yet. ,"Cochrane, PLoS One",http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/581/CN-00909581/frame.html
astragalus,2,general health,"dna damage, immune system",plant / herb,"740,000",Limited studies suggest a stengthening of  the immune system. More evidence needed.,"Block, Mead (2003)",http://www.ncbi.nlm.nih.gov/pubmed/15035888
astragalus,3,general health,chronic kidney disease,plant / herb,"354,000",Low quality evidence for patients with chronic kidney disease when combined with conventional treatments. ,Cochrane,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008369.pub2/abstract
bee pollen,1,cancer,cancer ,other,"3,730,000",No evidence,European Journal of Medicinal Chemistry,http://www.ncbi.nlm.nih.gov/pubmed/20598400
benfotiamine ,3,"diabetes, general health","anti-aging, diabetes ",compound,"311,000",A study of high-dose benfotiamine (300 mg/day) supplementation over 24 months showed no significant effects.,Cochrane,http://www.cochrane.org/CD009403/RENAL_vitamin-b-and-its-derivatives-for-diabetic-kidney-disease
beta-carotene,1,cancer,cancer,vitamin,"5,410,000",There is no evidence that beta-carotene prevents cancer.,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/18689373
beta glucans,1,cancer,cancer,compound,"280,000","Compounds found in brewers' yeast and mushrooms. Most studies so far have been done in animals or test tubes, rather than on human subjects. Trials on human subjects are needed. ",Evidence-Based Complementary and Alternative Medicine,http://www.hindawi.com/journals/ecam/2014/252171/
beta glucans,2,"infections, respiratory","colds, immune system",compound,"558,000",Reduced number of colds by 25% and severity of symptoms by 15%. Might increase the body's ability to fend off infections.,Molecular Nutrition and Food Research,http://onlinelibrary.wiley.com/doi/10.1002/mnfr.201300338/full
bitter melon,1,diabetes,diabetes,plant / herb,"1,150,000",Not enough evidence to support using bitter melon in diabetes treament.,Cochrane,http://www.cochrane.org/CD007845/ENDOC_momordica-charantia-for-type-2-diabetes-mellitus
black cohosh,2,women,menopause,plant / herb,"530,000",Insufficient evidence to claim that black cohosh improves menopause symptoms. ,Cochrane,http://www.cochrane.org/CD007244/MENSTR_black-cohosh-cimicifuga-spp.-for-menopausal-symptoms
black tea,1,cancer,cancer prevention,plant / herb,"151,000,000",Reviews have found no association between black tea and ovarian or breast cancer risk.,Nutrition and Cancer,http://www.tandfonline.com/doi/abs/10.1080/01635581.2014.936947#.Va-yTBNVhBc
borage seed oil,4,musculoskeletal,rheumatoid arthritis,plant / herb,"93,300","Improves pain and function, and probably has no adverse effects. ",Cochrane,http://www.cochrane.org/CD002948/MUSKEL_herbal-therapy-for-rheumatoid-arthritis
borage seed oil,1,eye & skin,eczema,plant / herb,"1,420,000",A review of 27 studies found no evidence of efficacy.,Cochrane,https://www.cochrane.org/CD004416/SKIN_oral-evening-primrose-oil-and-borage-oil-eczema
bromelain,3,musculoskeletal,arthritis,enzyme,"571,000",Bromelain reduces arthritis symptoms. More research into dosage and side effects required. ,"Annals of Internal Medicine
Common Knowledge",http://commons.pacificu.edu/pa/475/
butterbur,2,pain,migraines,plant / herb,"59,700",Butterbur extract may lower the frequency and severity of migraines.,Neurology,http://www.neurology.org/content/78/17/1346.short
caffeine,5,cognition,memory,compound,"34,200,000",Enhances consolidation of long term memories. Improves memory in young adults during their non-optimal time of day (mornings). ,"Borota et al 2014, Frontiers in Psychology",http://www.ncbi.nlm.nih.gov/pubmed/24413697
caffeine,2,cancer,skin cancer,compound,"19,300,000",Population studies shows women who consume more than three cups of coffee a day MAY have a lower cancer risk than people who drink less than one cup per month. ,Song et al. 2012,http://cancerres.aacrjournals.org/content/72/13/3282
caffeine,2,mental health,"alzheimer's disease, dementia",plant / herb,"4,110,000",Caffiene appears to slow cognitive decline and prevent Alzheimer's. But the results are not definitive. ,Santos et al 2010,http://www.ncbi.nlm.nih.gov/pubmed/20182026
calcium,4,cardio,blood pressure,mineral,"101,000,000","High quality evidence has shown that extra calcium can slightly reduce blood pressure, especially in people younger than 35. ",Cochrane,http://www.cochrane.org/CD010037/HTN_extra-calcium-to-prevent-high-blood-pressure
calcium,4,cancer,colorectal cancer,mineral,"10,700,000","No evidence that calcium supplementation stops colorectal cancer itself, but it does inhibit potentially pre-cancerous colorectal polyps (adenomatous polyps) ",Cochrane,http://www.cochrane.org/CD003548/COLOCA_daily-intake-of-1-gr-dietary-calcium-may-have-moderate-protective-effect-on-development-of-colorectal-adenomatous-polyps
calcium,3,"musculoskeletal, women",osteoporosis in postmenopausal women,mineral,"3,710,000","Calcium supps might help to prevent fractures, although the results have been contradictory.",PubMed,http://www.ncbi.nlm.nih.gov/pubmed/21289325
calcium + vit. D,5,musculoskeletal,bone health,mineral,"43,900,000","A review of 8 studies including 30,970 participants found that calcium plus vitamin D supplementation reduced total fracture risk by 15% and hip fracture risk by 30%. ",Osteoporosis International,https://link.springer.com/article/10.1007/s00198-015-3386-5
calcium + vit. D,2,"cancer, women","breast cancer in premenopausal women, cancer",mineral,"52,100,000",There is no firm evidence that calcium and vitamin D supplementation decreases cancer risk. ,Cochrane,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007469.pub2/abstract
cannabis,4,cancer,nausea  ,plant / herb,"703,000",Promising evidence showing a reduction in nausea and vomiting caused by chemotherapy. The FDA has approved 2 synthetic cannabis drugs for treating chemo-related nausea. ,"Cochrane, NAP",http://www.cochrane.org/CD009464/GYNAECA_cannabis-based-medicine-nausea-and-vomiting-people-treated-chemotherapy-cancer
cannabis,3,eye & skin,glaucoma,plant / herb,"1,490,000","Definitely lowers eye pressure, but only temporarily (3-4hrs). Since Glaucoma is a long-term disease, a LOT of cannabis would be required to maintain low pressure levels. Also, cannabis might cause additional damage to the eye by restricting blood flow to the optic nerve. ",American Glaucoma Society,https://community.americanglaucomasociety.net/about/statements
cannabis,5,neurological,Multiple Sclerosis (MS),plant / herb,"22,700,000","2 studies involving a total of 790 subjects showed positive results. Improved muscle spasms, pain, sleep quality, and mobility. Cannabis-based drug Sativex is approved for use in MS patients in 30 countries.",Journal of Ethnopharmacology,http://www.sciencedirect.com/science/article/pii/S0378874106000821
cannabis,4,pain,chronic pain,plant / herb,"79,400,000",Several good quality trials have shown cannabinoids to be modestly effective in treating chronic pain. The harms and side-effects may outweigh the benefits though. Larger and longer trials needed. ,"British Journal of Clinical Pharmacology, Cochrane",https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012182.pub2/full?highlightAbstract=cannabis&highlightAbstract=cannabi
capsaicin,1,general health,non-allergic rhinitis,plant / herb,"89,900","Capsaicin comes from chili peppers. Evidence has found that inhaling 4 micrograms at least 5 times a day can reduce inflammation, but the quality of the evidence is low. Who wants to inhale chilli?",Cochrane,http://www.cochrane.org/CD010591/ENT_capsaicin-non-allergic-rhinitis
carnosine,1,general health,anti-aging,compound,"292,000","Promising results in mice and in cell studies, but no human trials yet. ",Molecules in Focus,http://www.sciencedirect.com/science/article/pii/S1357272598000600
cat's claw,1,cancer,cancer,plant / herb,"526,000",No human trials. ,Anticancer Research,http://europepmc.org/abstract/med/11724307
chamomile,1,digestion,bowel disorders,plant / herb,"765,000",No high-quality human trials. ,Der Pharma Chemica,https://www.derpharmachemica.com/abstract/chamomile-efficacy-in-patients-of-the-irritable-bowel-syndrome-6898.html
"chocolate, dark",3,cardio,blood pressure,plant / herb,"26,800,000","Chemicals known as flavanols, found in cocoa products, are thought to widen blood vessels and cause a minor drop in blood pressure. Further trials are needed to ascertain long-term efficacy. Does not apply to mllk chocolate.",Cochrane,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008893.pub2/abstract
chlorella,4,cardio,"blood pressure, cholesterol, cardiovascular disease",alga,"948,000","Significantly decreases blood pressure, blood glucose, and some cholesterols.",Clinical Nutrition,https://www.clinicalnutritionjournal.com/article/S0261-5614(17)31351-1/fulltext
chromium,2,diabetes,diabetes,mineral,"7,520,000","Might lower blood glucose levels. It might also help with fat loss, which could benefit those with diabetes. ",Cochrane,http://www.cochrane.org/CD010063/ENDOC_chromium_picolinate_supplementation_for_overweight_or_obese_people
cinnamon,1,diabetes,diabetes,plant / herb,"24,200,000",No more effective than placebo in controlling glucose levels. ,Cochrane,http://www.cochrane.org/CD007170/ENDOC_cinnamon-for-diabetes-mellitus
coconut oil,3,"cardio, general health",obesity,plant / herb,"10,100,000","30ml of coconut oil per day might help to reduce waist size, but possibly because the fat in coconut oil isn't as easily stored.",Cochrane,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/529/CN-00721529/frame.html
coffee,6,cardio,heart disease,plant / herb,"134,000,000","A metastudy found that the more coffee a person drinks, the lower their risk of cardiovascular disease. The optimum amount of coffee for this benefit was 3-5 per day. ",Epidemiology and Prevention,http://circ.ahajournals.org/content/129/6/643.long
coffee,3,general health,mortality,plant / herb,"54,600,000","A large statistical study of over 650,000 people found that coffee drinking reduced all cause mortality, whether it was instant, ground, or decaffeinated. ",JAMA International Medicine,https://jamanetwork.com/journals/jamainternalmedicine/article-abstract/2686145
colostrinin,1,mental health,alzheimer's disease,compound,"8,280",A few small human studies suggest possible effects on Alzheimers.,The Journal of Nutritional Health and Aging,http://www.ncbi.nlm.nih.gov/pubmed?term=new%20insights%20colostrinin
CoQ10,3,diabetes,diabetes,enzyme,"1,190,000","CoQ10 improves insulin secretion in those with type 2 diabetes. However, human trials have been tiny.  ",Biofactors,http://onlinelibrary.wiley.com/doi/10.1002/biof.1038/abstract?userIsAuthenticated=false&deniedAccessCustomisedMessage=
CoQ10,1,pain,migraine,enzyme,"340,000",Some tentative evidence on migraine sensitivity. But much more research needed.,Sage,http://cep.sagepub.com/content/31/8/897.short
CoQ10,1,cardio,blood pressure,enzyme,"1,390,000",Pooled data from two trials showed that CoQ10 did not affect blood pressure compared to placebo.,Cochrane,http://www.cochrane.org/CD007435/HTN_coenzyme-q10-high-blood-pressure
cranberry,1,"urinary, women",urinary tract infections,plant / herb,"880,000",No statistically significant evidence that cranberry juice or supplements prevent UTIs. ,Cochrane,http://www.cochrane.org/CD001321/RENAL_cranberries-for-preventing-urinary-tract-infections
creatine & CoQ10 ,3,mental health,cognition,compound,"326,000","Creatine doesn't have a significant effect in those with normal brain function, but it can benefit those with impaired brain function when combined with CoQ10. ",European Neurology,http://www.karger.com/Article/Abstract/377676
dandelion,3,infections,tonsillitis,plant / herb,"338,000","Dandelion might have antimicrobial properties, which could help with throat infections. ",Evidence-Based Health Care,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004877.pub3/abstract
devil's claw,4,musculoskeletal,arthritis,plant / herb,"226,000",Devil's Claw extract can reduce lower back pain by blocking the pathways that cause joint inflammation. ,Cochrane,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004504.pub4/abstract
DHEA,3,"cognition, men",memory in young men,compound,"2,000,000",DHEA might improve memory in young men. ,Cochrane,http://www.cochrane.org/CD006221/DEMENTIA_no-current-evidence-for-an-improvement-in-memory-or-other-aspects-of-cognitive-function-of-non-demented-older-people-following-dhea-supplements
DHEA,1,general health,ageing,compound,"260,000","DHEA has no beneficial impact on body composition, performance etc. ",PubMed,http://www.ncbi.nlm.nih.gov/pubmed/17050889
dong quai,0,"cancer, reproductive",menopause in breast cancer patients,plant / herb,"343,000",HARMFUL. Long term safety data is non-existent. May increase risk of cancer.,Lau et al. 2005,http://www.ncbi.nlm.nih.gov/pubmed/20833608
echinacea,3,infections,colds,plant / herb,"743,000","Echinacea might have a slight impact on preventing and treating colds, but the results are statistically insignificant. ",Cochrane,http://www.cochrane.org/CD000530/ARI_echinacea-for-preventing-and-treating-the-common-cold
ecklonia cava seaweed ,3,"weight control, cardio","cholesterol, weight loss",alga,"62,600",There's evidence that seaweed supplements can combat several mechanisms behind the onset of cardiovascular disease. Ecklonia in particular has been shown to decrease cholesterol.,Marine Drugs,https://www.mdpi.com/1660-3397/13/11/6838/htm
eggshell membrane,5,general health,"joints, arthritis",other,"148,000",Egg shell membrane eases joints by increasing cell production and decreasing inflammation. 500mg a day gives rapid results. ,Cochrane,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/993/CN-00718993/frame.html
elderberry,1,infections,flu,plant / herb,"1,740,000",Eelderberry extract Sambucol may be useful for the treatment of viral influenza infections. More rigorous studies needed.,Phytotherapy Research,http://www.actahort.org/books/1061/1061_12.htm
elk velvet antler,1,musculoskeletal,rheumatoid arthritis,animal product,"45,300",No good quality evidence for elk velvet antler as a treatment for arthritis.,The New Zealand Medical Journal,http://majsivi.wdfiles.com/local--files/2012:1214/Gilbey2012.pdf
evening primrose oil,1,"reproductive, women",PMS,plant / herb,"692,000",Evening primrose oil is no more effective than placebo. ,Journal of Psychosomatic Obstetrics and Gynecology,http://www.tandfonline.com/doi/abs/10.3109/0167482X.2010.538102#.Vcnzd5NVhBc
evening primrose oil,1,eye & skin,eczema,plant / herb,"1,420,000",A review of 27 studies found no evidence of efficacy.,Cochrane,https://www.cochrane.org/CD004416/SKIN_oral-evening-primrose-oil-and-borage-oil-eczema
feverfew,5,pain,migraine,plant / herb,"8,970,000",Feverfew reduces migraine frequency by just over half a migraine a month. ,Cochrane,http://www.cochrane.org/CD002286/SYMPT_feverfew-for-preventing-migraine
fish oil / omega 3,2,general health,cystic fibrosis,compound,"9,790,000",Evidence is poor.,Cochrane,https://www.cochrane.org/CD002201/CF_use-omega-3-supplements-people-cystic-fibrosis
fish oil / omega 3,1,mental health,"Alzheimer's, dementia",compound,"2,650,000","In the largest and longest study of its kind, researchers found that fish oil/omega 3 had no statistically significant impact on cognitive decline.",The Journal of the American Medical Association,http://jama.jamanetwork.com/article.aspx?articleid=2429713
fish oil / omega 3,1,respiratory,asthma,compound,"3,950,000",Review of trials found that people with asthma changing their diets to include more fish oil DID NOT improve their asthma.,Cochrane,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001283/abstract
fish oil / omega 3,2,cancer,cancer symptoms,compound,"159,000,000",Fish oil can counter chemotherapy-related damage to white blood cells. ,Lipids,http://link.springer.com/article/10.1007/s11745-011-3643-0#page-2
fish oil / omega 3,2,"mental health, children",child intelligence,compound,"31,900,000",Fish oil supplementation has a very minor positive impact on some measures of learning and performance.,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/20171055
fish oil / omega 3,3,cancer,colorectal cancer,compound,"47,600,000",It is thought that omega 3 reduces the risk of colorectal cancer and is effective in its treatment. ,PubMed,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7373878/
fish oil / omega 3,1,digestion,Crohn's disease,compound,"31,800,000",No beneficial effect for those with Crohn's Disease.,Cochrane,http://www.cochrane.org/reviews/en/ab006320.html
fish oil / omega 3,1,reproductive,low sperm count,compound,"15,200,000",A small study of 211 men it was found that omega 3 supplementation significantly increased sperm count. ,Cochrane,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/203/CN-00780203/frame.html
fish oil / omega 3,1,diabetes,diabetes,compound,"15,200,000",Probably no beneficial effect for those with type 2 diabetes. ,Cochrane,http://www.cochrane.org/CD003205/ENDOC_omega-3-polyunsaturated-fatty-acids-pufa-for-type-2-diabetes-mellitus
fish oil / omega 3,0,cancer,prostate cancer,compound,"1,610,000",HAMRFUL? Recent studies have linked fish oil intake with increased prostate cancer risk.,Journal of the National Cancer Institutue.,http://jnci.oxfordjournals.org/content/early/2013/07/09/jnci.djt174.abstract
fish oil / omega 3,2,mental health,psychosis,compound,"440,000","In one study, supplementation delayed the onset of psychosis in those on track to develop certain mental health conditions. ",Nature Communications,http://www.nature.com/ncomms/2015/150811/ncomms8934/full/ncomms8934.html
fish oil / omega 3,2,mental health,depression,compound,"6,800,000",Low quality evidence. ,Cochrane,http://www.cochrane.org/CD004692/DEPRESSN_omega-3-fatty-acids-depression-adults
fish oil / omega 3 (in pregnancy),5,reproductive,preterm birth,compound,"212,000,000",A meta-analysis concluded that preterm birth & early preterm birth were reduced in women receiving omega-3. ,Cochrane,https://www.cochrane.org/CD003402/PREG_omega-3-fatty-acid-addition-during-pregnancy
flax seeds,1,"cancer, women",breast cancer,plant / herb,"1,320,000",Population studies indicate a slight possibility flaxeed could reduce breast cancer tumour growth. No controlled trials have been carried out.,Cancer Causes Control,http://link.springer.com/article/10.1007/s10552-013-0155-7#page-2
folic acid,5,children,birth defects,vitamin,"1,780,000","Folic acid helps to prevent birth defects, but timing of supplementation is important. ",Cochrane,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007950.pub2/full
folic acid,0,cancer,cancer,vitamin,"19,000,000",POTENTIALLY HARMFUL. When combined with vitamin B12 can be associated with increased cancer risk.,Cochrane,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7527439/
GABA,3,mental health,"stress, anxiety",compound,"3,880,000",Some suggestive evidence for effect on anxiety & stress.,Frontiers in Neuroscience,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7527439/
garlic,1,cardio,blood pressure,plant / herb,"24,700,000","Garlic might reduce blood pressure, but further research is required.",Cochrane,http://www.cochrane.org/CD007653/HTN_garlic-for-hypertension
garlic,2,cancer,cancer treatment,vegetable,"19,300,000","Due to anticancer properties of aged garlic, its consumption along with healthy diet may have beneficial effects on cancer. More clinical trials necessary.",International Journal of Preventative Medicine,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6212616/
garlic ,3,cancer,cancer prevention,plant / herb,"8,080,000","Garlic might prevent certain cancers, but there is a lack of clinical trial evidence. The WHO recommends consuming at least one clove a day for general health benefits. ",National Cancer Institute,http://www.cancer.gov/cancertopics/factsheet/Prevention/garlic-and-cancer-prevention
garlic ,1,infections,colds,plant / herb,"3,370,000",Insufficient evidnce for effects on the common cold.,Cochrane: Garlic for the common cold,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006206.pub4/full?highlightAbstract=withdrawn%7Cgarlic%7Ccold
ginger,4,digestion,nausea and vomiting,plant / herb,"10,100,000",Ginger prevents nausea and vomitting for some people in certain circumstances.,Annals of Oncology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3995184/
gingko biloba,1,mental health,dementia,plant / herb,"428,000",Insufficient clinical trial evidence for the use of ginkgo bilboa as a treatment for dementia.,University of Oxford Medical Sciences Division,http://www.ncbi.nlm.nih.gov/pubmed/20040554
ginseng,1,mental health,cognitive performance,plant / herb,"797,000","No convincing evidence for ginseng enhancing cognition in healthy people, and only low quality evidence that it helps dementia patients. ",Cochrane,http://www.cochrane.org/CD007769/DEMENTIA_no-convincing-evidence-of-a-cognitive-enhancing-effect-of-panax-ginseng.
glucosamine,3,musculoskeletal,"arthritis, joint pain",compound,"4,830,000","Studies using a specific brand of glucosamine (Rotta) found that patients' pain decreased. However, studies using other brands found no difference between glucosamine and placebo. ",Cochrane,http://www.cochrane.org/CD002946/MUSKEL_glucosamine-for-osteoarthritis
glutamine,1,"digestion, children",gastrointestinal disease in infants,compound,"1,850,000",Insufficient evidence to determine whether glutamine supplements are beneficial or harmful.,Cochrane,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD005947.pub4/full?highlightAbstract=disease%7Cinfants%7Cglutamin%7Cgastrointestin%7Cyoung%7Cfor%7Csupplementation%7Cwithdrawn%7Cdiseas%7Cglutamine%7Cinfant%7Cgastrointestinal%7Cwith%7Csever%7Cfour%7Csupplement%7Csevere
glutamine,1,general health,mortality in preterm infants,compound,"248,000",No evidence. ,Cochrane,http://www.cochrane.org/CD001457/NEONATAL_glutamine-supplementation-prevent-morbidity-and-mortality-preterm-infants
goji berry,1,eye & skin,eye health,plant / herb,"1,880,000",Supplementation for 90 days appeared to show some improvements in eye-health for seniors. But more research is needed. ,Optometry and Vision Science,http://journals.lww.com/optvissci/Abstract/2011/02000/Goji_Berry_Effects_on_Macular_Characteristics_and.12.aspx
grape seed extract,1,pain,"wound healing, swelling",plant / herb,"735,000",Some preliminary evidence  ,Examine.com,https://examine.com/supplements/grape-seed-extract/
green tea,3,cancer,cancer prevention,plant / herb,"25,800,000","The evidence is conflicting. However, drinking 3-5 cups a day might have general health benefits. ",Cochrane,http://www.cochrane.org/reviews/en/ab005004.html
green tea,2,cardio,cholesterol,plant / herb,"50,000,000","Might help to reduce total cholesterol levels, but trials were small and exposed to bias. ",Cochrane,http://www.cochrane.org/CD009934/VASC_green-and-black-tea-to-prevent-cardiovascular-disease
