supplement,evidence,condition,sub_condition,type,popularity,notes,source names,link
hawthorn,3,cardio,"blood pressure, cardiovascular disease",fruit,"18,400,000","Mixed results, with some studies showing no effect and others suggesting positive benefits. Larger, longer-term trials are needed.",Cochrane; BMC Complementary and Alternative Medicine; Phytotherapy Research,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD005312.pub2/abstract
hawthorn ,5,cardio,chronic heart failure,fruit,"1,070,000",Hawthorn improves heart function in those with chronic heart failure.,American Journal of Cardiovascular Drugs,https://link.springer.com/article/10.1007/s40256-017-0249-9
horsetail ,2,musculoskeletal,osteoporosis,vegetable,"98,600","A small, old study showed horsetail improved bone density in menopausal women.",,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/095/CN-00415095/frame.html
horse chestnut seed extract,4,cardio,CVI,plant / herb,"104,000","Horse chestnut seed extract is effective in treating chronic venous insufficiency. However, further research is needed.",Cochrane,http://www.cochrane.org/CD003230/PVD_horse-chestnut-seed-extract-for-long-term-or-chronic-venous-insufficiency
hyaluronic acid,2,musculoskeletal,arthritis (only when injected),compound,"1,840,000","Injected hyaluronic acid might have a small effect in the treatment of osteoarthritis. However, the trials are biased and the results questionable. ",PubMed,http://www.ncbi.nlm.nih.gov/pubmed/14679274
iron,4,"children, mental health, general health",child development (when not anaemic),mineral,"185,000,000","Iron supplementation in infants might benefit their psychomotor development, but not their mental or behavioural development.",PubMed,http://www.ncbi.nlm.nih.gov/pubmed/20410098
iron + folic acid,4,reproductive,maternal and infant health,compound,"3,320,000",Reduces iron deficiency anaemia for pregnant women. The impact on babies is less clear. ,Cochrane,http://www.cochrane.org/CD004736/PREG_effects-and-safety-preventive-oral-iron-or-iron-folic-acid-supplementation-women-during-pregnancy
kava,2,mental health,anxiety,plant / herb,"964,000","Might have a small but significant effect on anxiety, but more information is required about the safety of long-term use. ",Cochrane,http://www.cochrane.org/CD003383/DEPRESSN_kava-extract-for-treating-anxiety
krill oil,1,women,PMS,other,"271,000",Krill oil significantly reduced both emotional and physical PMS symptoms in one study.,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/12777162
L-arginine,1,general health,exercise performance,compound,"19,600,000","One study found that L-arginine had a significant beneficial impact on exercise performance. However, the trial was tiny. ",Journal of Applied Psysiology,http://jap.physiology.org/cgi/content/abstract/japplphysiol.00503.2010v1
L-carnitine,3,diabetes,diabetes,compound,"2,900,000",May alleviate pain in patients with diabetic nerve issues (neuropathy). ,Diabetes Care,http://care.diabetesjournals.org/content/28/1/89.short
L-lysine,1,"sexual health, infections",herpes,compound,"907,000",No evidence that lysine has a preventative effect on cold sores.  ,Cochrane,http://www.cochrane.org/CD010095/SKIN_measures-preventing-cold-sores
lavender,2,mental health,"depression, anxiety",plant / herb,"31,900,000",Suggestive evidence for reduced anxiety. No effect on depression.,Examine.com,https://examine.com/supplements/lavender/
lavender,1,mental health,"sleep, relaxation, anxiety",plant / herb,"11,100,000","One small study found inhaling lavender before bed relieves sleepiness on waking in healthy adults, but the trial was tiny. ",Perceptual and Motor Skills,http://www.amsciepub.com/doi/abs/10.2466/13.15.PMS.114.1.111-122
leucine,1,general health,protein synthesis,compound,"10,300,000","One study found drinking leucine solution while exercising speeds up recovery, but the trial was tiny. ",Pasiakos et al. 2011,http://www.ncbi.nlm.nih.gov/pubmed/21775557
lingzhi + san miao san,2,musculoskeletal,arthritis,plant / herb,"17,800","This combination of Chinese herbs may reduce pain, but does not provide any other significant benefits (e.g. antiinflammatory).",American Journal of Clinical Nutrition,http://www.ncbi.nlm.nih.gov/pubmed/17907228
lutein ,1,eye & skin,age-related macular degeneration (AMD),compound,"5,390,000",Taking lutein alone (or combined with zeaxanthin) may have little or no effect on progression to late AMD and vision loss (low-certainty evidence).,Cochrane,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD000254.pub4/abstract
lycopene,2,"cancer, men",prostate cancer,compound,"720,000",Insufficient evidence to support or refute the use of lycopene in preventing prostate cancer. ,Cochrane,http://www.cochrane.org/CD008007/PROSTATE_lycopene-for-the-prevention-of-prostate-cancer
magnesium,3,cardio,blood pressure,mineral,"49,300,000",Low levels of magnesium in the diet are linked to high blood pressure and cholesterol. Magnesium treatment might be effective as a preventative. ,International Journal of Cardiology,http://www.sciencedirect.com/science/article/pii/S016752731501270X
magnesium + vitamin B6,3,"mental health, children",child ADHD,vitamin,"1,240,000",Children with ADHD tend to have low magnesium and vitamin B6 levels. It's unclear whether supplementation reduces the symptoms of ADHD.,Magnes Restauracja,https://www.ncbi.nlm.nih.gov/pubmed/22928358
melatonin,2,mental health,sleep disturbances ,compound,"16,900,000","Can help to regulate the body-clock and improve sleep. However, it does not affect all groups of people in the same way, and the evidence is low quality. ",Cochrane,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009776.pub2/full?highlightAbstract=sleep%7Cwithdrawn%7Cmelatonin
milk thistle,2,"general health, infections","hepatitis, diabetes",plant / herb,"2,040,000","Might be beneficial in treating hepatitis and other liver diseases, and protecting the liver from the impact of diabetes. However, the trials were low quality. ",Cochrane,http://www.cochrane.org/CD003620/LIVER_no-evidence-supporting-or-refuting-milk-thistle-for-alcoholic-andor-hepatitis-b-or-c-virus-liver-diseases
mistletoe,3,cancer,breast & neck cancers,plant / herb,"1,080,000",Some preliminary evidence for improving quality of life in breast cancer patients. Evidence for other cancers is weak. More studies needed.,Cochrane,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003297.pub2/full
MSM,2,musculoskeletal,arthritis ,compound,"2,160,000","Associated with slight reduction in pain and improvement in function, but the results may not be clinically significant.  ",BMC Complementary and Alternative Medicine,http://www.biomedcentral.com/1472-6882/11/50/
myo-inositol ,4,diabetes,gestational diabetes,compound,"52,600",Potential benefit for reducing the incidence of gestational diabetes.,Cochrane,http://www.cochrane.org/CD011507/PREG_taking-myo-inositol-dietary-supplement-during-pregnancy-prevent-development-gestational-diabetes
N-acetyl cysteine (NAC),1,mental health,"OCD, addiction",other,"291,000",Problems with glutamate function in the brain are thought to affect addiction and compulsive behaviour. NAC might improve glutamate function.,Clinical Psychopharmacology and Neuroscience,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4423164/
nettle,1,"urinary, men",prostate-related urinary problems,plant / herb,"410,000",Might be effective in treating urinary issues in men by reducing inflammation. But we could find no recent studies.,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/16635963
niacin (vitamin B3),0,cardio,heart disease,vitamin,"3,620,000","POTENTIALLY HARMFUL. Has long been thought an effective treatment for heart disease, but recent findings show that it does not help, and can have severe adverse effects. ",The New England Journal of Medicine.,http://www.nejm.org/doi/full/10.1056/NEJMoa1300955
olive leaf extract,1,cardio,"blood pressure, cholesterol",plant / herb,"5,840,000","One study found  beneficial effects on vascular health, although the trial was small. ",British Journal of Nutrition,http://journals.cambridge.org/action/displayAbstract?fromPage=online&aid=9860730&fileId=S0007114515001269
omega 3,1,"mental health, children",child ADHD,compound,"2,360,000",Insufficient evidence to suggest omega 3 has any beneficial effect on children with ADHD.,Cochrane,http://www.cochrane.org/CD007986/BEHAV_polyunsaturated-fatty-acids-pufa-supplements-for-attention-deficit-hyperactivity-disorder-adhd-in-children-and-adolescents
omega 3: ALA,1,cardio,heart disease,compound,"1,360,000","Insufficient evidence to claim that omega 3 has any impact on heart health, either in healthy people or those with cardiovascular disease.",Cochrane,http://www.cochrane.org/CD003177/VASC_there-is-not-enough-evidence-to-say-that-people-should-stop-taking-rich-sources-of-omega-3-fats-but-further-high-quality-trials-are-needed-to-confirm-the-previously-suggested-protective-effect-of-omega-3-fats-for-those-at-increased-cardiovas
omega 6,1,cancer,cancer,compound,"64,300,000","One study found that omega 6 prevented tumours from growing, but this was a cell study, i.e. not tested on humans. ",Journal of the National Cancer Institute,http://jnci.oxfordjournals.org/cgi/content/abstract/97/21/1611?maxtoshow=&hits=10&RESULTFORMAT=&fulltext=eveing+primrose+oil&searchid=1&FIRSTINDEX=0&resourcetype=HWCIT
omega 6,1,cardio,heart health,compound,"68,400,000",No benefit on heart health. ,British Medical Journal,http://www.bmj.com/content/346/bmj.e8707
pau d’arco,0,general health,decongestant ,plant / herb,"35,100","HARMFUL. Highly toxic. If used at all, should be used with extreme caution. ",Oncology Nursing Forum,https://pdfs.semanticscholar.org/582a/65c49c737111cc5416303877d4c5c0c5a093.pdf
peppermint oil,5,digestion,IBS,plant / herb,"1,080,000","Relaxes muscles, which relieves IBS-related muscle spasms. Peppermint oil might be more effective than conventional anti-spasmodics and fibre treatment. ",Cochrane,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003460.pub3/full?highlightAbstract=withdrawn%7Cib%7Cibs%7Cpeppermint
piracetam,2,mental health,"memory, dementia",compound,"475,000",Evidence does not support the use of piracetam as a treatment for cognitive impairment. ,Cochrane,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001011/full?highlightAbstract=withdrawn%7Cpiracetam
potassium,1,cardio,blood pressure,mineral,"56,000,000",Medication that prevents potassium loss has no significant impact on blood pressure at low doses. Trials at high doses are unavailable. ,Cochrane,http://www.cochrane.org/CD008167/HTN_the-blood-pressure-lowering-effect-of-enac-blockers-is-not-known
probiotics,2,reproductive,candida,other,"3,940,000",Very low quality evidence. High quality trials needed. ,Cochrane,http://www.cochrane.org/CD010496/STI_probiotics-vulvovaginal-candidiasis-non-pregnant-women
probiotics,3,cardio,"cholesterol, blood pressure",other,"8,880,000",Conflicting evidence and unclear results.,Internal Journal of Molecular Sciences,http://www.mdpi.com/1422-0067/11/6/2499/htm
probiotics,3,digestion,IBS,other,"6,700,000","A particular probiotic (B. infantis 35624) improves IBS symptoms such as pain, bloating, and bowel movement difficulty. Evidence for other types of probiotic is limited. ",PubMed,http://www.ncbi.nlm.nih.gov/pubmed/19277023
probiotics,1,urinary,urinary tract infections,other,"1,190,000",No significant evidence that probiotics are any more effective than placebo in treating UTIs. Quality of evidence is poor.,Cochrane,http://www.cochrane.org/CD008772/RENAL_probiotics-preventing-urinary-tract-infections-adults-and-children
probiotics,5,digestion,diarrhea,other,"1,420,000",Effective for preventing diarrhea associated with antibiotic use,Cochrane,http://www.cochrane.org/CD006095/IBD_use-probiotics-prevent-clostridium-difficile-diarrhea-associated-antibiotic-use
reishi mushroom,2,cancer,cancer,plant/herb,"601,000",Possible effect on recovery from chemotherapy. But studies were small and there were some quality concerns. ,Cochrane,http://www.cochrane.org/CD007731/GYNAECA_g-lucidum-reishi-mushroom-cancer-treatment
resveratrol,2,cardio,heart health,compound,"6,560,000","Resveratrol may have cardioprotective benefits, although scientists don't know quite how it works.",Tomé-Carneiro et al 2013,http://www.ncbi.nlm.nih.gov/pubmed/23448440
resveratrol,1,cancer,cancer,compound,"7,130,000",No human trials as yet.,Cancer Letters,http://onlinelibrary.wiley.com/doi/10.1111/nyas.12205/abstract?userIsAuthenticated=false&deniedAccessCustomisedMessage=
resveratrol,2,diabetes,diabetes,compound,"6,940,000",Some preliminary evidence for relieving diabetes symptoms.,British Journal of Nutrition,http://www.ncbi.nlm.nih.gov/pubmed/21385509
rhodiola rosea L.,2,"mental health, general health",fatigue,plant / herb,"258,000","Rhodiola rosea L. is effective in treating fatigue. However, the quality of the trials conducted is questionable. ",Complementary and Alternative Medicine,http://www.biomedcentral.com/1472-6882/12/70
saffron,2,mental health,depression,plant/herb,"2,820,000",Possible anti-depressant effect. But solid evidence is lacking. ,"Journal of Affective Disorders, Phytomedicine, Journal of Ethnopharmacology, Journal of Integrative Medicine, Human Psychopharmacology",https://www.sciencedirect.com/science/article/pii/S0165032717315884
SAM-e,1,mental health,depression,compound,"313,000,000",A review of eight studies showed no strong evidence of the effectiveness of SAM-e when taken on its own. More study needed.,Current Psychiatry Reports,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011286.pub2/full?highlightAbstract=withdrawn%7Cdepress%7Cdepression%7Ce%7Csam
saw palmetto,1,"urinary, men",prostate-related urinary problems,plant / herb,"2,150,000",No evidence that it improves urinary-tract-related problems. ,Cochrane,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001423.pub3/full?highlightAbstract=saw%7Cwithdrawn%7Cpalmett%7Cpalmetto
selenium,1,cancer,cancer ,mineral,"19,400,000",Insufficient evidence that selenium lowers cancer risk. ,Cochrane,http://www.cochrane.org/CD005195/GYNAECA_selenium-for-preventing-cancer
silicic acid,1,mental health,Alzheimer's,compound,"48,800",Silicic acid might help to prevent Alzheimer's Disease by decreasing the amount of aluminium in the body. We await more research.,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/16988476
slippery elm,1,infections,sore throat,plant / herb,"973,000",No clinical evidence for sore throats.,Pediatrics in Review,http://www.researchgate.net/profile/Kathi_Kemper2/publication/274637505_herbs_in_pediatric_and_adolescent_medicine-_gardiner-_peds_in_review_2000/links/55242e490cf2b123c51736e8.pdf
spirulina,1,cardio,"blood pressure, cholesterol",plant / herb,"837,000",Very preliminary evidence shows Spirulina reducing blood pressure and lower lipids.,Journal of Medicinal Food,http://www.ncbi.nlm.nih.gov/pubmed/19298191
St John's wort,4,mental health,depression,plant / herb,"1,500,000","St John's Wort performs better than a placebo in improving depression symptoms, and not significantly different to antidepressants, which had more side-effects.","Cochrane, Systematic Reviews",https://www.cochrane.org/CD000448/DEPRESSN_st.-johns-wort-for-treating-depression.
St John's wort,1,"reproductive, women",PMS,plant / herb,"249,000",Daily treatment with St. John's wort had no effect on the emotional and physical symptoms of PMS.,CNS Drugs,http://www.tandfonline.com/doi/abs/10.3109/0167482X.2010.538102#.VcoSgJNVhBc
taurine,1,"general health, cardio","weight loss, cholesterol",compound,"1,860,000",No human trials.,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/15221507
TMG ,1,general health,metabolism,compound,"182,000",No significant effect on metabolism in humans. ,Schwab 2002,http://www.ncbi.nlm.nih.gov/pubmed/12399266
tryptophan,3,"mental health, women",depression in women,compound,"233,000","Tryptophan and 5-HTP might alleviate depression, but the studies conducted are unreliable, and the safety of the substances is questionable. ",Cochrane,http://www.cochrane.org/CD003198/DEPRESSN_tryptophan-and-5-hydroxytryptophan-for-depression
turmeric,2,cancer,cancer,plant / herb,"2,790,000","Might have anti-cancer effects, particularly on colon and pancreatic cancer, cervical neoplasia and Barrets metaplasia. ",PubMed,http://www.ncbi.nlm.nih.gov/pubmed/20214562
turmeric,3,digestion,"peptic ulcer, ulcerative colitis ",plant / herb,"857,000","May be an effective therapy for peptic ulcers and ulcerative colitis when combined with conventional medications. However, larger trials are needed. ",Cochrane,http://www.cochrane.org/CD008424/IBD_curcumin-for-maintenance-of-remission-in-ulcerative-colitis
turmeric,2,mental health,depression,plant/herb,"10,700,000","May have benefits. However, it has poor bioavailability. 9-20 teaspoons daily would be required to get the desired effect.","Journal of the American Medical Directors Association, Journal of Affective Disorders, Phytotherapy Research, European Neuropsychopharmacology, Journal of Clinical Pharmacology,",http://onlinelibrary.wiley.com/doi/10.1002/ptr.5524/full
turmeric,2,cognition,memory,plant / herb,"1,200,000","A high quality, long-term (18 months), but small study (40 subjects) found that 90mg of curcumin twice daily improved memory in adults without dementia. ",American Journal of Geriatric Psychiatry,https://www.sciencedirect.com/science/article/pii/S1064748117305110
L-tyrosine,4,cognition,"alertness, wakefulness, memory",compound,"49,700",Evidence suggests that tyrosine intake slightly improves working memory and information processing in healthy adults under strain. ,Pharmacology Biochemistry and Behaviour,http://www.sciencedirect.com/science/article/pii/S0091305715000945
L-tyrosine,3,mental health,depression,compound,"4,830,000","Tyrosine may help with mental health problems by maintaining neurotransmitters, which affect mood.",Pharmacology Biochemistry and Behaviour,http://www.sciencedirect.com/science/article/pii/S0091305715000945
valerian,1,mental health,anxiety,plant / herb,"2,310,000",One study found no difference between valerian and placebo in the treatment of anxiety. Research using larger samples is required. ,Cochrane,http://www.cochrane.org/CD004515/DEPRESSN_valerian-for-anxiety-disorders
valerian,0,mental health,insomnia,plant / herb,"1,140,000",HARMFUL? No significant differences between valerian and placebo in the treatment of insomnia. Valerian might have a number of adverse side effects. ,Sleep Medicine Reviews,http://www.sciencedirect.com/science/article/pii/S1087079214001476
vitamin A,4,"general health, infections","child mortality, diarrhea, measles",vitamin,"45,600,000","Reduces overall risk of death and death due to diarrhoea by 12%. Vitamin A does not specifically reduce death due to measles, respiratory infections, or meningitis, but it can reduce new occurrences of diarrhoea and measles.","Cochrane, WHO",http://www.cochrane.org/CD008524/BEHAV_vitamin-supplementation-preventing-disease-and-death-children-aged-six-months-five-years
vitamin A,0,children,birth defects,vitamin,"635,000","HARMFUL. High doses (10,000 ID/per day) can cause birth defects in human and animal infants.",PubMed,http://www.ncbi.nlm.nih.gov/pubmed/9431575
vitamin B,2,mental health,Alzheimer's,vitamin,"16,200,000",Vitamin B treatment slows brain shrinkage and significantly reduces brain cell death.,Proceedings of the National Academy of Sciences of the United States of America,http://www.pnas.org/content/110/23/9523.short
Vitamin B,4,mental health,schizophrenia,vitamin,"5,580,000",A review of 18 studies found that vitamin B reduced psychiatric symptoms significantly more than in a control group.,Psychological Medicine,https://www.cambridge.org/core/journals/psychological-medicine/article/div-classtitlethe-effects-of-vitamin-and-mineral-supplementation-on-symptoms-of-schizophrenia-a-systematic-review-and-meta-analysisdiv/3CFE6C3B0FED2ED04B9968AD2660EA08
vitamin B2,2,pain,migraine  ,vitamin,"683,000",May reduce the frequency of migraines.,Neurological Science,http://link.springer.com/article/10.1007/s10072-014-1755-z#page-1
vitamin B3,2,cancer,skin cancer ,vitamin,"3,160,000",May prevent skin cancer.,"International Journal of Cancer, Photodermatology, Photoimmunology & Photomedicine, CA: A Cancer Journal for Clinicians, New England Journal of Medicine",http://onlinelibrary.wiley.com/wol1/doi/10.1002/ijc.30630/full
vitamin B8,3,mental health,"OCD, panic disorder",vitamin,"94,200","Several small studies suggest anti-anxiety effects, but more research is needed.  ",Journal of Clinical Pharmacology,"http://journals.lww.com/psychopharmacology/Abstract/2001/06000/Double_Blind,_Controlled,_Crossover_Trial_of.14.aspx"
vitamin B8,2,mental health,depression,vitamin,"860,000",The evidence for vitamin B8 (also known as Inositol) as a treatment for depression is unclear.,Cochrane,http://www.cochrane.org/CD004049/DEPRESSN_inositol-for-depression
vitamin C,4,infections,colds,vitamin,"9,430,000","Vitamin C supplementation does not reduce the incidence of colds in the general population, although it can shorten their duration. For those under extreme physical stress (e.g. marathon runners) vitamin C appears to half the risk of developing a cold. ",Cochrane,http://www.cochrane.org/CD000980/ARI_vitamin-c-for-preventing-and-treating-the-common-cold
vitamin D,1,cancer,cancer,vitamin,"166,000,000","One of the largest & most rigorous trials ever conducted (25,871 participants over 5 years) found that vitamin D supplementation did not result in lower incidence of invasive cancers. ","PubMed, New England Journal of Medicine",http://www.ncbi.nlm.nih.gov/pubmed/20164683
vitamin D,3,respiratory,asthma attacks,vitamin,"37,100,000",Some protection against severe asthma attacks in adults with mild to moderate asthma. Further trials focusing on children and people who experience frequent severe asthma attacks are needed.,Cochrane,http://www.cochrane.org/CD011511/AIRWAYS_vitamin-d-prevent-asthma-attacks
vitamin D,4,musculoskeletal,bone health,vitamin,"80,200,000",It appears that supplementation for those with vitamin D deficiency increases bone density and helps to prevent fractures. ,American Journal of Clinical Nutrition,http://www.cochrane.org/CD006944/MUSKEL_vitamin-d-for-improving-bone-density-in-children
vitamin D,1,mental health,"depression, mood disorders",vitamin,"27,500,000","Low levels of vitamin D in the body are associated with depression, but whether or not vitamin D deficiency actually causes depression is uncertain. ",British Journal of Psychology,http://bjp.rcpsych.org/content/202/2/100.short
vitamin D,2,diabetes,diabetes,vitamin,"154,000,000",The association between vitamin D status and diabetes is unclear. ,Annals of Internal Medicine,http://www.ncbi.nlm.nih.gov/pubmed/20194237
vitamin D,3,infections,flu,vitamin,"31,800,000","In one trial, 10.8% of children taking vitamin D(3) contracted influenza, compared with 18.6% of children in the placebo group. It also reduced the number of flu-related asthma attacks. ",Urashima et al. 2010,http://www.ncbi.nlm.nih.gov/pubmed/20219962
vitamin D,4,general health,"general health, all-cause mortality",vitamin,"44,500,000","A review suggests that vitamin D3 may reduce mortality, showing that about 150 participants need to be treated over five years for one additional life to be saved. It found some evidence that vitamin D3 seems to decrease mortality in elderly people not dependent on help or living in institutional care.
",Cochrane,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007470.pub3/full?highlightAbstract=mortality%7Cwithdrawn%7Cd%7Cvitamin%7Cmortal
vitamin D,1,cardio,cardiovascular disease,vitamin,"109,000,000","One of the largest & most rigorous trials ever conducted (over 83,000 participants) found that vitamin D supplementation did not result in lower incidence of cardiovascular events. ","JAMA, New England Journal of Medicine",https://jamanetwork.com/journals/jamacardiology/article-abstract/2735646
vitamin E,0,general health,mortality,vitamin,"62,600,000","HARMFUL? High dosages might increase all-cause mortality. Small amounts can be beneficial, but the line between helpful and dangerous is unclear at this stage. ",American College of Physicians,http://annals.org/article.aspx?articleid=718049
vitamin E,2,neurological,Alzheimer's disease,vitamin,"29,000,000",No to slight evidence.,Cochrane,http://www.cochrane.org/CD002854/DEMENTIA_use-vitamin-e-treatment-mild-cognitive-impairment-and-alzheimers-disease-ad
Vitamin K,1,cardio,cardiovascular disease,vitamin,"65,600,000",More evidence needed.,Cochrane,http://www.cochrane.org/CD011148/VASC_vitamin-k-supplementation-prevent-cardiovascular-disease
Vitamin K2,3,"cancer, men",prostate cancer,vitamin,"1,470,000",No conclusive evidence.,"American Journal of Clinical Nutrition, OncoTarget",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5593683/
vitamin K2,4,musculoskeletal,osteoporosis,vitamin,"473,000","Vitamin K2 has repeatedly been shown to improve bone strength, particularly in post-menopausal women. ",Osteoporosis International,http://link.springer.com/article/10.1007/s00198-007-0337-9#page-1
xylitol,4,infections,middle ear infection,plant / herb,"311,000","Was found to reduce middle ear infections in otherwise healthy children by 8% (from 30% to 22%). It was administered via chewing gum, lozenges or syrup. Other studies have had similar positive results.","Cochrane, Medicine",http://www.cochrane.org/CD007095/ARI_xylitol-sugar-supplement-preventing-middle-ear-infection-children-12-years-age
xylitol,2,general health,teeth,compound,"3,080,000","Some evidence that xylitol in toothpaste might reduce tooth decay by 13% over 3 years. The studies have been of low quality, though. ",Cochrane,http://www.cochrane.org/CD010743/ORAL_can-xylitol-used-in-products-like-sweets-candy-chewing-gum-and-toothpaste-help-prevent-tooth-decay-in-children-and-adults
zinc,4,"infections, respiratory",colds,mineral,"2,540,000","Oral zinc formulations may shorten symptoms of common cold infections. However, large high-quality trials are needed. Side effects can be common.",CMAJ,http://www.cmaj.ca/content/184/10/E551.short
zinc,5,infections,pneumonia (children),mineral,"4,370,000",Zinc supplementation in children is associated with a reduction in the incidence and prevalence of pneumonia.,"Cochrane, WHO",http://www.cochrane.org/CD005978/ARI_zinc-supplementation-prevention-pneumonia-children-aged-two-59-months
